Date,Day,Meal Type,Food Item,Wasted (kg),Consumed (kg),Prepared (kg),Number of Students,Season,Holiday or Weekday,Food Category,Meal Cost per Student,Total Cost,Nutritional Value (Calories),Protein_Content_g,Carbohydrates_g,Fat_Content_g,Average_Rating,Leftovers_%,1kg Cost (Min),1kg Cost (Max),Consumption Ratio
2024-12-29,Sunday,Dinner,Banana,4.24,29.82,34.06,110,Winter,Holiday,Snack,14.32,1575.2,355,18.63,47.57,12.0,5.0,12.06,40,60,0.92
2024-12-29,Sunday,Lunch,Vadagam,5.73,40.07,45.8,462,Winter,Holiday,Main Dish,31.11,14372.82,239,13.89,40.69,14.63,3.0,21.25,200,250,0.95
2024-12-29,Sunday,Breakfast,Bread,4.7,44.39,49.09,269,Winter,Holiday,Beverage,41.18,11077.42,487,18.59,52.92,13.27,4.2,20.76,60,80,0.71
2024-12-29,Sunday,Breakfast,Butter,2.91,35.08,37.99,269,Winter,Holiday,Beverage,49.6,13342.4,518,6.82,48.86,4.36,1.1,3.16,400,500,0.89
2024-12-29,Sunday,Breakfast,Jam,8.79,44.99,53.78,269,Winter,Holiday,Snack,29.83,8024.27,329,24.75,22.75,17.88,4.2,12.24,200,250,0.57
2024-12-29,Sunday,Breakfast,Ragi Koozh,5.76,35.48,41.24,269,Winter,Holiday,Snack,18.42,4954.98,205,10.44,20.44,16.91,1.1,20.22,80,100,0.9
2024-12-29,Sunday,Breakfast,Milk,2.11,25.79,27.9,269,Winter,Holiday,Main Dish,12.22,3287.18,119,21.93,79.28,13.74,3.6,17.23,50,60,0.69
2024-12-29,Sunday,Breakfast,Onion,3.3,47.04,50.34,269,Winter,Holiday,Side Dish,41.53,11171.57,510,25.08,59.53,10.25,1.3,18.56,40,60,0.96
2024-12-29,Sunday,Lunch,Kushka,4.29,35.61,39.9,462,Winter,Holiday,Main Dish,30.11,13910.82,580,23.52,48.23,16.95,3.9,23.94,150,200,0.95
2024-12-29,Sunday,Lunch,Salna,2.68,20.45,23.13,462,Winter,Holiday,Snack,31.51,14557.62,274,21.55,35.99,10.99,2.1,9.61,120,150,0.91
2024-12-29,Sunday,Breakfast,Moor milagai,5.48,37.11,42.59,269,Winter,Holiday,Beverage,38.19,10273.11,479,19.05,41.92,18.79,2.0,17.01,156,198,0.95
2024-12-29,Sunday,Lunch,Raitha,1.99,32.96,34.95,462,Winter,Holiday,Side Dish,24.07,11120.34,258,25.22,58.94,12.2,4.7,29.73,80,100,0.72
2024-12-29,Sunday,Dinner,Tomato Sevai,1.49,16.25,17.74,110,Winter,Holiday,Main Dish,49.79,5476.9,404,12.57,32.9,8.43,1.5,28.05,100,120,0.76
2024-12-29,Sunday,Lunch,Rice,3.98,45.91,49.89,462,Winter,Holiday,Side Dish,29.29,13531.98,436,12.37,72.97,12.58,1.2,11.7,40,60,0.35
2024-12-29,Sunday,Dinner,Kadal curry,6.36,41.84,48.2,110,Winter,Holiday,Side Dish,11.64,1280.4,566,25.45,28.45,19.16,1.7,6.52,156,198,0.9
2024-12-29,Sunday,Dinner,White sevai,6.59,35.21,41.8,110,Winter,Holiday,Main Dish,39.89,4387.9,408,16.48,22.23,14.52,5.0,0.78,156,198,0.98
2024-12-29,Sunday,Dinner,Coconut milk,1.15,31.3,32.45,110,Winter,Holiday,Snack,10.35,1138.5,194,28.25,75.04,19.34,4.6,14.49,156,198,0.96
2024-12-29,Sunday,Snacks,Masala pori,6.48,37.46,43.94,216,Winter,Holiday,Side Dish,35.73,7717.68,218,14.47,27.29,3.41,1.5,8.46,156,198,0.69
2024-12-29,Sunday,Snacks,Tea,1.65,32.77,34.42,216,Winter,Holiday,Beverage,35.11,7583.76,585,23.63,70.42,10.32,1.3,7.38,200,250,0.97
2024-12-29,Sunday,Lunch,Rasam,4.5,22.91,27.41,462,Winter,Holiday,Main Dish,29.95,13836.9,391,19.28,31.05,7.96,4.2,23.73,80,100,0.96
2024-12-28,Saturday,Lunch,Beetroot Poriyal,2.83,35.27,38.1,313,Winter,Holiday,Main Dish,37.95,11878.35,329,18.88,56.44,13.37,5.0,9.51,156,198,0.89
2024-12-28,Saturday,Breakfast,Chappathi,3.96,40.62,44.58,251,Winter,Holiday,Beverage,27.46,6892.46,296,13.64,58.07,5.76,1.6,20.99,100,120,0.98
2024-12-28,Saturday,Breakfast,Kichadi,3.02,47.1,50.12,251,Winter,Holiday,Main Dish,23.22,5828.22,144,25.19,65.84,3.21,2.0,14.17,100,120,0.49
2024-12-28,Saturday,Breakfast,Potato peas curry,6.61,33.26,39.87,251,Winter,Holiday,Side Dish,15.6,3915.6,391,11.16,25.03,11.05,2.8,27.23,156,198,0.43
2024-12-28,Saturday,Breakfast,Jam,5.04,27.52,32.56,251,Winter,Holiday,Main Dish,24.44,6134.44,573,6.58,29.64,10.99,1.4,12.29,200,250,0.97
